state,clinton,trump,johnson,stein,votes
Alabama,718084,1306925,43869,9287,9
Alaska,93007,130415,14593,4445,3
Arizona,936250,1021154,80151,25255,11
Arkansas,378729,677904,29518,9837,6
California,6010382,3212651,312750,168722,55
Colorado,1212209,1137455,129451,33147,9
Connecticut,884432,668266,48051,22793,7
Delaware,235581,185103,14751,6100,3
DC,260223,11553,4501,3995,3
Florida,4485745,4605515,206007,64019,29
Georgia,1837300,2068623,123641,0,16
Hawaii,266827,128815,15949,12727,4
Idaho,189677,407199,28256,8464,4
Illinois,2977489,2118179,204491,74112,20
Indiana,1031953,1556220,133856,0,11
Iowa,650790,798923,57322,12267,6
Kansas,414788,656009,53648,22698,6
Kentucky,628834,1202942,53749,13913,8
Louisiana,779535,1178004,37950,14018,8
Maine,354873,334838,37764,14075,4
Maryland,1497951,873646,71107,31839,10
Massachusetts,1964768,1083069,136784,46910,11
Michigan,2267373,2279210,173021,50686,16
Minnesota,1366676,1322891,112944,36957,10
Mississippi,462001,678457,13789,3580,6
Missouri,1054889,1585753,96404,25086,10
Montana,174521,274120,27264,7669,3
Nebraska,272858,485819,37615,8346,5
Nevada,537753,511319,37299,0,6
New Hampshire,348521,345789,30827,6416,4
New Jersey,2021756,1535513,68695,35949,14
New Mexico,380724,315875,73669,9729,5
New York,4143874,2640570,161836,99895,29
North Carolina,2162074,2339603,127794,0,15
North Dakota,93526,216133,21351,3769,3
Ohio,2317001,2771984,168599,44310,18
Oklahoma,419788,947934,83334,0,7
Oregon,934631,742506,86306,45132,7
Pennsylvania,2844705,2912941,142653,48912,20
Rhode Island,249902,179421,14643,6155,4
South Carolina,849469,1143611,48715,12917,9
South Dakota,117442,227701,20845,0,3
Tennessee,867110,1517402,70084,15919,11
Texas,3867816,4681590,282524,71307,38
Utah,250981,419031,29291,6680,6
Vermont,178179,95053,10047,6748,3
Virginia,1916845,1731156,116600,52914,13
Washington,1554151,1079391,136675,47741,12
West Virginia,187457,486198,22798,8000,5
Wisconsin,1382210,1409467,106442,30980,10
Wyoming,55949,174248,13285,2512,3
